ID_Objeto,Circularidad_Simplificada,Relacion_Aspecto,Excentricidad_Simplif,Clase_Asignada
Obj120,8_rot90.png,1.006483,0.975309,0.221229,Circulo
Obj121,8_rot90.png,1.013366,1.008475,0.131765,Circulo
Obj122,9.png,1.011319,1.012987,0.161675,Circulo
Obj123,9.png,1.009276,1.090323,0.397456,Cuadrado
Obj124,9.png,1.006483,1.025316,0.221229,Circulo
Obj125,9.png,1.013366,0.991597,0.131765,Circulo
Obj126,9_flipH.png,1.011319,1.012987,0.161675,Circulo
Obj127,9_flipH.png,1.009276,1.090323,0.397456,Cuadrado
Obj128,9_flipH.png,1.006483,1.025316,0.221229,Circulo
Obj129,9_flipH.png,1.013366,0.991597,0.131765,Circulo
Obj130,9_flipV.png,1.013366,0.991597,0.131765,Circulo
Obj131,9_flipV.png,1.006483,1.025316,0.221229,Circulo
Obj132,9_flipV.png,1.009276,1.090323,0.397456,Cuadrado
Obj133,9_flipV.png,1.011319,1.012987,0.161675,Circulo
Obj134,9_rot180.png,1.013366,0.991597,0.131765,Circulo
Obj135,9_rot180.png,1.006483,1.025316,0.221229,Circulo
Obj136,9_rot180.png,1.009276,1.090323,0.397456,Cuadrado
Obj137,9_rot180.png,1.011319,1.012987,0.161675,Circulo
Obj138,9_rot270.png,1.013366,1.008475,0.131765,Circulo
Obj139,9_rot270.png,1.011319,0.987179,0.161675,Circulo
Obj140,9_rot270.png,1.006483,0.975309,0.221229,Circulo
Obj141,9_rot270.png,1.009276,0.917160,0.397456,Cuadrado
Obj142,9_rot90.png,1.009276,0.917160,0.397456,Cuadrado
Obj143,9_rot90.png,1.006483,0.975309,0.221229,Circulo
Obj144,9_rot90.png,1.011319,0.987179,0.161675,Circulo
Obj145,9_rot90.png,1.013366,1.008475,0.131765,Circulo
Obj146,10.png,1.011319,1.012987,0.161675,Circulo
Obj147,10.png,1.009276,1.090323,0.397456,Cuadrado
Obj148,10.png,1.006483,1.025316,0.221229,Circulo
Obj149,10.png,1.013366,0.991597,0.131765,Circulo
Obj150,10.png,1.012058,0.946309,0.322150,Circulo
Obj151,10_flipH.png,1.011319,1.012987,0.161675,Circulo
Obj152,10_flipH.png,1.009276,1.090323,0.397456,Cuadrado
Obj153,10_flipH.png,1.006483,1.025316,0.221229,Circulo
Obj154,10_flipH.png,1.013366,0.991597,0.131765,Circulo
Obj155,10_flipH.png,1.012058,0.946309,0.322150,Circulo
Obj156,10_flipV.png,1.012058,0.946309,0.322150,Circulo
Obj157,10_flipV.png,1.013366,0.991597,0.131765,Circulo
Obj158,10_flipV.png,1.006483,1.025316,0.221229,Circulo
Obj159,10_flipV.png,1.009276,1.090323,0.397456,Cuadrado
Obj160,10_flipV.png,1.011319,1.012987,0.161675,Circulo
Obj161,10_rot180.png,1.012058,0.946309,0.322150,Circulo
Obj162,10_rot180.png,1.013366,0.991597,0.131765,Circulo
Obj163,10_rot180.png,1.006483,1.025316,0.221229,Circulo
Obj164,10_rot180.png,1.009276,1.090323,0.397456,Cuadrado
Obj165,10_rot180.png,1.011319,1.012987,0.161675,Circulo
Obj166,10_rot270.png,1.013366,1.008475,0.131765,Circulo
Obj167,10_rot270.png,1.011319,0.987179,0.161675,Circulo
Obj168,10_rot270.png,1.006483,0.975309,0.221229,Circulo
Obj169,10_rot270.png,1.012058,1.056738,0.322150,Circulo
Obj170,10_rot270.png,1.009276,0.917160,0.397456,Cuadrado
Obj171,10_rot90.png,1.009276,0.917160,0.397456,Cuadrado
Obj172,10_rot90.png,1.012058,1.056738,0.322150,Circulo
Obj173,10_rot90.png,1.006483,0.975309,0.221229,Circulo
Obj174,10_rot90.png,1.011319,0.987179,0.161675,Circulo
Obj175,10_rot90.png,1.013366,1.008475,0.131765,Circulo
Obj176,11.png,0.644635,1.146199,0.080025,Triangulo
Obj177,11_flipH.png,0.644635,1.146199,0.080025,Triangulo
Obj178,11_flipV.png,0.644635,1.146199,0.080025,Triangulo
Obj179,11_rot180.png,0.644635,1.146199,0.080025,Triangulo
Obj180,11_rot270.png,0.644635,0.872449,0.080025,Triangulo
Obj181,11_rot90.png,0.644635,0.872449,0.080025,Triangulo
Obj182,12.png,0.644635,1.146199,0.080025,Triangulo
Obj183,12.png,0.647031,1.049180,0.413229,Triangulo
Obj184,12_flipH.png,0.644635,1.146199,0.080025,Triangulo
Obj185,12_flipH.png,0.647031,1.049180,0.413229,Triangulo
Obj186,12_flipV.png,0.647031,1.049180,0.413229,Triangulo
Obj187,12_flipV.png,0.644635,1.146199,0.080025,Triangulo
Obj188,12_rot180.png,0.647031,1.049180,0.413229,Triangulo
Obj189,12_rot180.png,0.644635,1.146199,0.080025,Triangulo
Obj190,12_rot270.png,0.644635,0.872449,0.080025,Triangulo
Obj191,12_rot270.png,0.647031,0.953125,0.413229,Triangulo
Obj192,12_rot90.png,0.647031,0.953125,0.413229,Triangulo
Obj193,12_rot90.png,0.644635,0.872449,0.080025,Triangulo
Obj194,13.png,0.644635,1.146199,0.080025,Triangulo
Obj195,13.png,0.636586,1.200000,0.285669,Triangulo
Obj196,13.png,0.647031,1.049180,0.413229,Triangulo
Obj197,13_flipH.png,0.644635,1.146199,0.080025,Triangulo
Obj198,13_flipH.png,0.636586,1.200000,0.285669,Triangulo
Obj199,13_flipH.png,0.647031,1.049180,0.413229,Triangulo
Obj200,13_flipV.png,0.647031,1.049180,0.413229,Triangulo
Obj201,13_flipV.png,0.636586,1.200000,0.285669,Triangulo
Obj202,13_flipV.png,0.644635,1.146199,0.080025,Triangulo
Obj203,13_rot180.png,0.647031,1.049180,0.413229,Triangulo
Obj204,13_rot180.png,0.636586,1.200000,0.285669,Triangulo
Obj205,13_rot180.png,0.644635,1.146199,0.080025,Triangulo
Obj206,13_rot270.png,0.644635,0.872449,0.080025,Triangulo
Obj207,13_rot270.png,0.636586,0.833333,0.285669,Triangulo
Obj208,13_rot270.png,0.647031,0.953125,0.413229,Triangulo
Obj209,13_rot90.png,0.647031,0.953125,0.413229,Triangulo
Obj210,13_rot90.png,0.636586,0.833333,0.285669,Triangulo
Obj211,13_rot90.png,0.644635,0.872449,0.080025,Triangulo
Obj212,14.png,0.644635,1.146199,0.080025,Triangulo
Obj213,14.png,0.633372,1.210970,0.312328,Triangulo
Obj214,14.png,0.636586,1.200000,0.285669,Triangulo
Obj215,14.png,0.647031,1.049180,0.413229,Triangulo
Obj216,14_flipH.png,0.644635,1.146199,0.080025,Triangulo
Obj217,14_flipH.png,0.633372,1.210970,0.312328,Triangulo
Obj218,14_flipH.png,0.636586,1.200000,0.285669,Triangulo
Obj219,14_flipH.png,0.647031,1.049180,0.413229,Triangulo
Obj220,14_flipV.png,0.647031,1.049180,0.413229,Triangulo
Obj221,14_flipV.png,0.636586,1.200000,0.285669,Triangulo
Obj222,14_flipV.png,0.633372,1.210970,0.312328,Triangulo
Obj223,14_flipV.png,0.644635,1.146199,0.080025,Triangulo
Obj224,14_rot180.png,0.647031,1.049180,0.413229,Triangulo
Obj225,14_rot180.png,0.636586,1.200000,0.285669,Triangulo
Obj226,14_rot180.png,0.633372,1.210970,0.312328,Triangulo
Obj227,14_rot180.png,0.644635,1.146199,0.080025,Triangulo
Obj228,14_rot270.png,0.644635,0.872449,0.080025,Triangulo
Obj229,14_rot270.png,0.636586,0.833333,0.285669,Triangulo
Obj230,14_rot270.png,0.633372,0.825784,0.312328,Triangulo
Obj231,14_rot270.png,0.647031,0.953125,0.413229,Triangulo
Obj232,14_rot90.png,0.647031,0.953125,0.413229,Triangulo
Obj233,14_rot90.png,0.633372,0.825784,0.312328,Triangulo
Obj234,14_rot90.png,0.636586,0.833333,0.285669,Triangulo
Obj235,14_rot90.png,0.644635,0.872449,0.080025,Triangulo
Obj236,15.png,0.657123,1.000000,0.498996,Triangulo
Obj237,15.png,0.644635,1.146199,0.080025,Triangulo
Obj238,15.png,0.633372,1.210970,0.312328,Triangulo
Obj239,15.png,0.636586,1.200000,0.285669,Triangulo
Obj240,15.png,0.647031,1.049180,0.413229,Triangulo
Obj241,15_flipH.png,0.657123,1.000000,0.498996,Triangulo
Obj242,15_flipH.png,0.644635,1.146199,0.080025,Triangulo
Obj243,15_flipH.png,0.633372,1.210970,0.312328,Triangulo
Obj244,15_flipH.png,0.636586,1.200000,0.285669,Triangulo
Obj245,15_flipH.png,0.647031,1.049180,0.413229,Triangulo
Obj246,15_flipV.png,0.647031,1.049180,0.413229,Triangulo
Obj247,15_flipV.png,0.636586,1.200000,0.285669,Triangulo
Obj248,15_flipV.png,0.633372,1.210970,0.312328,Triangulo
Obj249,15_flipV.png,0.644635,1.146199,0.080025,Triangulo
Obj250,15_flipV.png,0.657123,1.000000,0.498996,Triangulo
Obj251,15_rot180.png,0.647031,1.049180,0.413229,Triangulo
Obj252,15_rot180.png,0.636586,1.200000,0.285669,Triangulo
Obj253,15_rot180.png,0.633372,1.210970,0.312328,Triangulo
Obj254,15_rot180.png,0.644635,1.146199,0.080025,Triangulo
Obj255,15_rot180.png,0.657123,1.000000,0.498996,Triangulo
Obj256,15_rot270.png,0.644635,0.872449,0.080025,Triangulo
Obj257,15_rot270.png,0.636586,0.833333,0.285669,Triangulo
Obj258,15_rot270.png,0.657123,1.000000,0.498996,Triangulo
Obj259,15_rot270.png,0.633372,0.825784,0.312328,Triangulo
Obj260,15_rot270.png,0.647031,0.953125,0.413229,Triangulo
Obj261,15_rot90.png,0.647031,0.953125,0.413229,Triangulo
Obj262,15_rot90.png,0.633372,0.825784,0.312328,Triangulo
Obj263,15_rot90.png,0.657123,1.000000,0.498996,Triangulo
Obj264,15_rot90.png,0.636586,0.833333,0.285669,Triangulo
Obj265,15_rot90.png,0.644635,0.872449,0.080025,Triangulo
Obj266,16.png,0.301074,1.015666,0.268116,Estrella
Obj267,16_flipH.png,0.301074,1.015666,0.268116,Estrella
Obj268,16_flipV.png,0.301074,1.015666,0.268116,Estrella
Obj269,16_rot180.png,0.301074,1.015666,0.268116,Estrella
Obj270,16_rot270.png,0.301074,0.984576,0.268116,Estrella
Obj271,16_rot90.png,0.301074,0.984576,0.268116,Estrella
Obj272,17.png,0.301074,1.015666,0.268116,Estrella
Obj273,17.png,0.318612,1.105820,0.315750,Estrella
Obj274,17_flipH.png,0.301074,1.015666,0.268116,Estrella
Obj275,17_flipH.png,0.318612,1.105820,0.315750,Estrella
Obj276,17_flipV.png,0.318612,1.105820,0.315750,Estrella
Obj277,17_flipV.png,0.301074,1.015666,0.268116,Estrella
Obj278,17_rot180.png,0.318612,1.105820,0.315750,Estrella
Obj279,17_rot180.png,0.301074,1.015666,0.268116,Estrella
Obj280,17_rot270.png,0.318612,0.904306,0.315750,Estrella
Obj281,17_rot270.png,0.301074,0.984576,0.268116,Estrella
Obj282,17_rot90.png,0.301074,0.984576,0.268116,Estrella
Obj283,17_rot90.png,0.318612,0.904306,0.315750,Estrella
Obj284,18.png,0.301074,1.015666,0.268116,Estrella
Obj285,18.png,0.336840,1.048000,0.056738,Estrella
Obj286,18.png,0.318612,1.105820,0.315750,Estrella
Obj287,18_flipH.png,0.301074,1.015666,0.268116,Estrella
Obj288,18_flipH.png,0.336840,1.048000,0.056738,Estrella
Obj289,18_flipH.png,0.318612,1.105820,0.315750,Estrella
Obj290,18_flipV.png,0.318612,1.105820,0.315750,Estrella
Obj291,18_flipV.png,0.301074,1.015666,0.268116,Estrella
Obj292,18_flipV.png,0.336840,1.048000,0.056738,Estrella
Obj293,18_rot180.png,0.318612,1.105820,0.315750,Estrella
Obj294,18_rot180.png,0.301074,1.015666,0.268116,Estrella
Obj295,18_rot180.png,0.336840,1.048000,0.056738,Estrella
Obj296,18_rot270.png,0.336840,0.954198,0.056738,Estrella
Obj297,18_rot270.png,0.318612,0.904306,0.315750,Estrella
Obj298,18_rot270.png,0.301074,0.984576,0.268116,Estrella
Obj299,18_rot90.png,0.301074,0.984576,0.268116,Estrella
Obj300,18_rot90.png,0.318612,0.904306,0.315750,Estrella
Obj301,18_rot90.png,0.336840,0.954198,0.056738,Estrella
Obj302,19.png,0.331624,1.092857,0.280167,Estrella
Obj303,19.png,0.301074,1.015666,0.268116,Estrella
Obj304,19.png,0.336840,1.048000,0.056738,Estrella
Obj305,19.png,0.318612,1.105820,0.315750,Estrella
Obj306,19_flipH.png,0.331624,1.092857,0.280167,Estrella
Obj307,19_flipH.png,0.301074,1.015666,0.268116,Estrella
Obj308,19_flipH.png,0.336840,1.048000,0.056738,Estrella
Obj309,19_flipH.png,0.318612,1.105820,0.315750,Estrella
Obj310,19_flipV.png,0.318612,1.105820,0.315750,Estrella
Obj311,19_flipV.png,0.301074,1.015666,0.268116,Estrella
Obj312,19_flipV.png,0.336840,1.048000,0.056738,Estrella
Obj313,19_flipV.png,0.331624,1.092857,0.280167,Estrella
Obj314,19_rot180.png,0.318612,1.105820,0.315750,Estrella
Obj315,19_rot180.png,0.301074,1.015666,0.268116,Estrella
Obj316,19_rot180.png,0.336840,1.048000,0.056738,Estrella
Obj317,19_rot180.png,0.331624,1.092857,0.280167,Estrella
Obj318,19_rot270.png,0.336840,0.954198,0.056738,Estrella
Obj319,19_rot270.png,0.318612,0.904306,0.315750,Estrella
Obj320,19_rot270.png,0.301074,0.984576,0.268116,Estrella
Obj321,19_rot270.png,0.331624,0.915033,0.280167,Estrella
Obj322,19_rot90.png,0.331624,0.915033,0.280167,Estrella
Obj323,19_rot90.png,0.301074,0.984576,0.268116,Estrella
Obj324,19_rot90.png,0.318612,0.904306,0.315750,Estrella
Obj325,19_rot90.png,0.336840,0.954198,0.056738,Estrella
Obj326,20.png,0.331624,1.092857,0.280167,Estrella
Obj327,20.png,0.301074,1.015666,0.268116,Estrella
Obj328,20.png,0.336840,1.048000,0.056738,Estrella
Obj329,20.png,0.318612,1.105820,0.315750,Estrella
Obj330,20.png,0.323803,1.138365,0.392823,Estrella
Obj331,20_flipH.png,0.331624,1.092857,0.280167,Estrella
Obj332,20_flipH.png,0.301074,1.015666,0.268116,Estrella
Obj333,20_flipH.png,0.336840,1.048000,0.056738,Estrella
Obj334,20_flipH.png,0.318612,1.105820,0.315750,Estrella
Obj335,20_flipH.png,0.323803,1.138365,0.392823,Estrella
Obj336,20_flipV.png,0.323803,1.138365,0.392823,Estrella
Obj337,20_flipV.png,0.318612,1.105820,0.315750,Estrella
Obj338,20_flipV.png,0.301074,1.015666,0.268116,Estrella
Obj339,20_flipV.png,0.336840,1.048000,0.056738,Estrella
Obj340,20_flipV.png,0.331624,1.092857,0.280167,Estrella
Obj341,20_rot180.png,0.323803,1.138365,0.392823,Estrella
Obj342,20_rot180.png,0.318612,1.105820,0.315750,Estrella
Obj343,20_rot180.png,0.301074,1.015666,0.268116,Estrella
Obj344,20_rot180.png,0.336840,1.048000,0.056738,Estrella
Obj345,20_rot180.png,0.331624,1.092857,0.280167,Estrella
Obj346,20_rot270.png,0.336840,0.954198,0.056738,Estrella
Obj347,20_rot270.png,0.318612,0.904306,0.315750,Estrella
Obj348,20_rot270.png,0.301074,0.984576,0.268116,Estrella
Obj349,20_rot270.png,0.323803,0.878453,0.392823,Estrella
Obj350,20_rot270.png,0.331624,0.915033,0.280167,Estrella
Obj351,20_rot90.png,0.331624,0.915033,0.280167,Estrella
Obj352,20_rot90.png,0.323803,0.878453,0.392823,Estrella
Obj353,20_rot90.png,0.301074,0.984576,0.268116,Estrella
Obj354,20_rot90.png,0.318612,0.904306,0.315750,Estrella
Obj355,20_rot90.png,0.336840,0.954198,0.056738,Estrella
Obj356,21.png,0.581543,1.279412,0.810563,Flecha
Obj357,21_flipH.png,0.581543,1.279412,0.810563,Flecha
Obj358,21_flipV.png,0.581543,1.279412,0.810563,Flecha
Obj359,21_rot180.png,0.581543,1.279412,0.810563,Flecha
Obj360,21_rot270.png,0.581543,0.781609,0.810563,Flecha
Obj361,21_rot90.png,0.581543,0.781609,0.810563,Flecha
Obj362,22.png,0.588557,1.073620,0.592401,Flecha
Obj363,22.png,0.581543,1.279412,0.810563,Flecha
Obj364,22_flipH.png,0.588557,1.073620,0.592401,Flecha
Obj365,22_flipH.png,0.581543,1.279412,0.810563,Flecha
Obj366,22_flipV.png,0.581543,1.279412,0.810563,Flecha
Obj367,22_flipV.png,0.588557,1.073620,0.592401,Flecha
Obj368,22_rot180.png,0.581543,1.279412,0.810563,Flecha
Obj369,22_rot180.png,0.588557,1.073620,0.592401,Flecha
Obj370,22_rot270.png,0.581543,0.781609,0.810563,Flecha
Obj371,22_rot270.png,0.588557,0.931429,0.592401,Flecha
Obj372,22_rot90.png,0.588557,0.931429,0.592401,Flecha
Obj373,22_rot90.png,0.581543,0.781609,0.810563,Flecha
Obj374,23.png,0.588557,1.073620,0.592401,Flecha
Obj375,23.png,0.581543,1.279412,0.810563,Flecha
Obj376,23.png,0.586558,0.936508,0.716246,Flecha
Obj377,23_flipH.png,0.588557,1.073620,0.592401,Flecha
Obj378,23_flipH.png,0.581543,1.279412,0.810563,Flecha
Obj379,23_flipH.png,0.586558,0.936508,0.716246,Flecha
Obj380,23_flipV.png,0.586558,0.936508,0.716246,Flecha
Obj381,23_flipV.png,0.581543,1.279412,0.810563,Flecha
Obj382,23_flipV.png,0.588557,1.073620,0.592401,Flecha
Obj383,23_rot180.png,0.586558,0.936508,0.716246,Flecha
Obj384,23_rot180.png,0.581543,1.279412,0.810563,Flecha
Obj385,23_rot180.png,0.588557,1.073620,0.592401,Flecha
Obj386,23_rot270.png,0.581543,0.781609,0.810563,Flecha
Obj387,23_rot270.png,0.588557,0.931429,0.592401,Flecha
Obj388,23_rot270.png,0.586558,1.067797,0.716246,Flecha
Obj389,23_rot90.png,0.586558,1.067797,0.716246,Flecha
Obj390,23_rot90.png,0.588557,0.931429,0.592401,Flecha
Obj391,23_rot90.png,0.581543,0.781609,0.810563,Flecha
Obj392,24.png,0.588557,1.073620,0.592401,Flecha
Obj393,24.png,0.582511,0.972441,0.693097,Flecha
Obj394,24.png,0.581543,1.279412,0.810563,Flecha
Obj395,24.png,0.586558,0.936508,0.716246,Flecha
Obj396,24_flipH.png,0.588557,1.073620,0.592401,Flecha
Obj397,24_flipH.png,0.582511,0.972441,0.693097,Flecha
Obj398,24_flipH.png,0.581543,1.279412,0.810563,Flecha
Obj399,24_flipH.png,0.586558,0.936508,0.716246,Flecha
Obj400,24_flipV.png,0.586558,0.936508,0.716246,Flecha
Obj401,24_flipV.png,0.582511,0.972441,0.693097,Flecha
Obj402,24_flipV.png,0.581543,1.279412,0.810563,Flecha
Obj403,24_flipV.png,0.588557,1.073620,0.592401,Flecha
Obj404,24_rot180.png,0.586558,0.936508,0.716246,Flecha
Obj405,24_rot180.png,0.582511,0.972441,0.693097,Flecha
Obj406,24_rot180.png,0.581543,1.279412,0.810563,Flecha
Obj407,24_rot180.png,0.588557,1.073620,0.592401,Flecha
Obj408,24_rot270.png,0.581543,0.781609,0.810563,Flecha
Obj409,24_rot270.png,0.588557,0.931429,0.592401,Flecha
Obj410,24_rot270.png,0.586558,1.067797,0.716246,Flecha
Obj411,24_rot270.png,0.582511,1.028340,0.693097,Flecha
Obj412,24_rot90.png,0.582511,1.028340,0.693097,Flecha
Obj413,24_rot90.png,0.586558,1.067797,0.716246,Flecha
Obj414,24_rot90.png,0.588557,0.931429,0.592401,Flecha
Obj415,24_rot90.png,0.581543,0.781609,0.810563,Flecha
Obj416,25.png,0.588557,1.073620,0.592401,Flecha
Obj417,25.png,0.567387,1.377622,0.842081,Flecha
Obj418,25.png,0.582511,0.972441,0.693097,Flecha
Obj419,25.png,0.581543,1.279412,0.810563,Flecha
Obj420,25.png,0.586558,0.936508,0.716246,Flecha
Obj421,25_flipH.png,0.588557,1.073620,0.592401,Flecha
