ID_Objeto,Circularidad_Simplificada,Relacion_Aspecto,Excentricidad_Simplif,Clase_Asignada
Obj169,10_rot270.png,1.012058,1.056738,0.322150,Circulo
Obj172,10_rot90.png,1.012058,1.056738,0.322150,Circulo
Obj173,10_rot90.png,1.006483,0.975309,0.221229,Circulo
Obj174,10_rot90.png,1.011319,0.987179,0.161675,Circulo
Obj175,10_rot90.png,1.013366,1.008475,0.131765,Circulo
Obj448,26.png,1.011585,1.000000,0.024503,Circulo
Obj452,26_flipH.png,1.011585,1.000000,0.024503,Circulo
Obj455,26_flipV.png,1.011585,1.000000,0.024503,Circulo
Obj459,26_rot180.png,1.011585,1.000000,0.024503,Circulo
Obj465,26_rot270.png,1.011585,1.000000,0.024503,Circulo
Obj466,26_rot90.png,1.011585,1.000000,0.024503,Circulo
Obj473,27.png,1.013968,0.964912,0.260846,Circulo
Obj477,27_flipH.png,1.013968,0.964912,0.260846,Circulo
Obj478,27_flipV.png,1.013968,0.964912,0.260846,Circulo
Obj482,27_rot180.png,1.013968,0.964912,0.260846,Circulo
Obj489,27_rot270.png,1.013968,1.036364,0.260846,Circulo
Obj490,27_rot90.png,1.013968,1.036364,0.260846,Circulo
Obj495,28.png,1.011437,1.000000,0.016918,Circulo
Obj500,28_flipH.png,1.011437,1.000000,0.016918,Circulo
Obj507,28_flipV.png,1.011437,1.000000,0.016918,Circulo
Obj512,28_rot180.png,1.011437,1.000000,0.016918,Circulo
Obj514,28_rot270.png,1.011437,1.000000,0.016918,Circulo
Obj523,28_rot90.png,1.011437,1.000000,0.016918,Circulo
Obj554,30.png,1.009563,1.000000,0.015118,Circulo
Obj555,30.png,1.011437,1.000000,0.016918,Circulo
Obj559,30_flipH.png,1.009563,1.000000,0.015118,Circulo
Obj560,30_flipH.png,1.011437,1.000000,0.016918,Circulo
Obj567,30_flipV.png,1.009563,1.000000,0.015118,Circulo
Obj568,30_flipV.png,1.011437,1.000000,0.016918,Circulo
Obj572,30_rot180.png,1.009563,1.000000,0.015118,Circulo
Obj573,30_rot180.png,1.011437,1.000000,0.016918,Circulo
Obj575,30_rot270.png,1.009563,1.000000,0.015118,Circulo
Obj577,30_rot270.png,1.011437,1.000000,0.016918,Circulo
Obj580,30_rot90.png,1.011437,1.000000,0.016918,Circulo
Obj582,30_rot90.png,1.009563,1.000000,0.015118,Circulo
Obj584,31.png,1.004943,1.000000,0.012007,Circulo
Obj585,31.png,1.015522,1.000000,0.025221,Circulo
Obj586,31.png,1.005778,1.000000,0.015458,Circulo
Obj589,31_flipH.png,1.004943,1.000000,0.012007,Circulo
Obj590,31_flipH.png,1.015522,1.000000,0.025221,Circulo
Obj591,31_flipH.png,1.005778,1.000000,0.015458,Circulo
Obj595,31_flipV.png,1.005778,1.000000,0.015458,Circulo
Obj597,31_flipV.png,1.004943,1.000000,0.012007,Circulo
Obj598,31_flipV.png,1.015522,1.000000,0.025221,Circulo
Obj600,31_rot180.png,1.005778,1.000000,0.015458,Circulo
Obj602,31_rot180.png,1.004943,1.000000,0.012007,Circulo
Obj603,31_rot180.png,1.015522,1.000000,0.025221,Circulo
Obj604,31_rot270.png,1.004943,1.000000,0.012007,Circulo
Obj607,31_rot270.png,1.015522,1.000000,0.025221,Circulo
Obj608,31_rot270.png,1.005778,1.000000,0.015458,Circulo
Obj609,31_rot90.png,1.005778,1.000000,0.015458,Circulo
Obj611,31_rot90.png,1.015522,1.000000,0.025221,Circulo
Obj613,31_rot90.png,1.004943,1.000000,0.012007,Circulo
Obj614,32.png,1.003456,1.000000,0.008279,Circulo
Obj616,32.png,1.017367,1.000000,0.010177,Circulo
Obj620,32_flipH.png,1.003456,1.000000,0.008279,Circulo
Obj622,32_flipH.png,1.017367,1.000000,0.010177,Circulo
Obj629,32_flipV.png,1.003456,1.000000,0.008279,Circulo
Obj631,32_flipV.png,1.017367,1.000000,0.010177,Circulo
Obj635,32_rot180.png,1.003456,1.000000,0.008279,Circulo
Obj637,32_rot180.png,1.017367,1.000000,0.010177,Circulo
Obj638,32_rot270.png,1.003456,1.000000,0.008279,Circulo
Obj643,32_rot270.png,1.017367,1.000000,0.010177,Circulo
Obj645,32_rot90.png,1.017367,1.000000,0.010177,Circulo
Obj648,32_rot90.png,1.003456,1.000000,0.008279,Circulo
Obj651,33.png,1.007081,1.000000,0.011173,Circulo
Obj656,33_flipH.png,1.007081,1.000000,0.011173,Circulo
Obj664,33_flipV.png,1.007081,1.000000,0.011173,Circulo
Obj669,33_rot180.png,1.007081,1.000000,0.011173,Circulo
Obj673,33_rot270.png,1.007081,1.000000,0.011173,Circulo
Obj676,33_rot90.png,1.007081,1.000000,0.011173,Circulo
Obj684,34.png,1.009531,1.000000,0.011605,Circulo
Obj689,34_flipH.png,1.009531,1.000000,0.011605,Circulo
Obj690,34_flipV.png,1.009531,1.000000,0.011605,Circulo
Obj695,34_rot180.png,1.009531,1.000000,0.011605,Circulo
Obj703,34_rot270.png,1.009531,1.000000,0.011605,Circulo
Obj706,34_rot90.png,1.009531,1.000000,0.011605,Circulo
Obj712,35.png,1.011585,1.000000,0.024503,Circulo
Obj716,35_flipH.png,1.011585,1.000000,0.024503,Circulo
Obj719,35_flipV.png,1.011585,1.000000,0.024503,Circulo
Obj723,35_rot180.png,1.011585,1.000000,0.024503,Circulo
Obj729,35_rot270.png,1.011585,1.000000,0.024503,Circulo
Obj730,35_rot90.png,1.011585,1.000000,0.024503,Circulo
Obj734,36.png,1.007145,1.000000,0.013197,Circulo
Obj737,36.png,1.013968,0.964912,0.260846,Circulo
Obj738,36_flipH.png,1.007145,1.000000,0.013197,Circulo
Obj741,36_flipH.png,1.013968,0.964912,0.260846,Circulo
Obj742,36_flipV.png,1.013968,0.964912,0.260846,Circulo
Obj744,36_flipV.png,1.007145,1.000000,0.013197,Circulo
Obj746,36_rot180.png,1.013968,0.964912,0.260846,Circulo
Obj748,36_rot180.png,1.007145,1.000000,0.013197,Circulo
Obj750,36_rot270.png,1.007145,1.000000,0.013197,Circulo
Obj753,36_rot270.png,1.013968,1.036364,0.260846,Circulo
Obj754,36_rot90.png,1.013968,1.036364,0.260846,Circulo
Obj757,36_rot90.png,1.007145,1.000000,0.013197,Circulo
Obj789,38.png,1.009371,1.000000,0.023808,Circulo
Obj793,38.png,1.005215,1.000000,0.011966,Circulo
Obj795,38_flipH.png,1.009371,1.000000,0.023808,Circulo
Obj799,38_flipH.png,1.005215,1.000000,0.011966,Circulo
Obj800,38_flipV.png,1.005215,1.000000,0.011966,Circulo
Obj804,38_flipV.png,1.009371,1.000000,0.023808,Circulo
Obj806,38_rot180.png,1.005215,1.000000,0.011966,Circulo
Obj810,38_rot180.png,1.009371,1.000000,0.023808,Circulo
Obj813,38_rot270.png,1.009371,1.000000,0.023808,Circulo
Obj814,38_rot270.png,1.005215,1.000000,0.011966,Circulo
Obj821,38_rot90.png,1.005215,1.000000,0.011966,Circulo
Obj822,38_rot90.png,1.009371,1.000000,0.023808,Circulo
Obj825,39.png,1.011437,1.000000,0.016918,Circulo
Obj830,39_flipH.png,1.011437,1.000000,0.016918,Circulo
Obj838,39_flipV.png,1.011437,1.000000,0.016918,Circulo
Obj843,39_rot180.png,1.011437,1.000000,0.016918,Circulo
Obj847,39_rot270.png,1.011437,1.000000,0.016918,Circulo
Obj850,39_rot90.png,1.011437,1.000000,0.016918,Circulo
Obj855,40.png,1.015522,1.000000,0.025221,Circulo
Obj860,40_flipH.png,1.015522,1.000000,0.025221,Circulo
Obj868,40_flipV.png,1.015522,1.000000,0.025221,Circulo
Obj873,40_rot180.png,1.015522,1.000000,0.025221,Circulo
Obj877,40_rot270.png,1.015522,1.000000,0.025221,Circulo
Obj881,40_rot90.png,1.015522,1.000000,0.025221,Circulo
Obj884,41.png,1.003456,1.000000,0.008279,Circulo
Obj886,41.png,1.017367,1.000000,0.010177,Circulo
Obj889,41_flipH.png,1.003456,1.000000,0.008279,Circulo
Obj891,41_flipH.png,1.017367,1.000000,0.010177,Circulo
Obj896,41_flipV.png,1.003456,1.000000,0.008279,Circulo
Obj898,41_flipV.png,1.017367,1.000000,0.010177,Circulo
Obj901,41_rot180.png,1.003456,1.000000,0.008279,Circulo
Obj903,41_rot180.png,1.017367,1.000000,0.010177,Circulo
Obj904,41_rot270.png,1.003456,1.000000,0.008279,Circulo
Obj908,41_rot270.png,1.017367,1.000000,0.010177,Circulo
Obj910,41_rot90.png,1.017367,1.000000,0.010177,Circulo
Obj913,41_rot90.png,1.003456,1.000000,0.008279,Circulo
Obj915,42.png,1.007081,1.000000,0.011173,Circulo
Obj919,42_flipH.png,1.007081,1.000000,0.011173,Circulo
Obj925,42_flipV.png,1.007081,1.000000,0.011173,Circulo
Obj929,42_rot180.png,1.007081,1.000000,0.011173,Circulo
Obj932,42_rot270.png,1.007081,1.000000,0.011173,Circulo
Obj935,42_rot90.png,1.007081,1.000000,0.011173,Circulo
Obj942,43.png,1.009531,1.000000,0.011605,Circulo
Obj947,43_flipH.png,1.009531,1.000000,0.011605,Circulo
Obj948,43_flipV.png,1.009531,1.000000,0.011605,Circulo
Obj953,43_rot180.png,1.009531,1.000000,0.011605,Circulo
Obj961,43_rot270.png,1.009531,1.000000,0.011605,Circulo
Obj964,43_rot90.png,1.009531,1.000000,0.011605,Circulo
Obj971,44.png,1.011585,1.000000,0.024503,Circulo
Obj973,44.png,1.011182,0.964912,0.261176,Circulo
Obj977,44_flipH.png,1.011585,1.000000,0.024503,Circulo
Obj979,44_flipH.png,1.011182,0.964912,0.261176,Circulo
Obj981,44_flipV.png,1.011182,0.964912,0.261176,Circulo
Obj983,44_flipV.png,1.011585,1.000000,0.024503,Circulo
Obj987,44_rot180.png,1.011182,0.964912,0.261176,Circulo
Obj989,44_rot180.png,1.011585,1.000000,0.024503,Circulo
Obj996,44_rot270.png,1.011182,1.036364,0.261176,Circulo
Obj997,44_rot270.png,1.011585,1.000000,0.024503,Circulo
Obj998,44_rot90.png,1.011585,1.000000,0.024503,Circulo
Obj999,44_rot90.png,1.011182,1.036364,0.261176,Circulo
Obj1006,45.png,1.017367,1.000000,0.010177,Circulo
Obj1013,45_flipH.png,1.017367,1.000000,0.010177,Circulo
Obj1023,45_flipV.png,1.017367,1.000000,0.010177,Circulo
Obj1030,45_rot180.png,1.017367,1.000000,0.010177,Circulo
Obj1038,45_rot270.png,1.017367,1.000000,0.010177,Circulo
Obj1040,45_rot90.png,1.017367,1.000000,0.010177,Circulo
Obj1048,46.png,1.009371,1.000000,0.023808,Circulo
Obj1052,46.png,1.005215,1.000000,0.011966,Circulo
Obj1055,46_flipH.png,1.009371,1.000000,0.023808,Circulo
Obj1059,46_flipH.png,1.005215,1.000000,0.011966,Circulo
Obj1060,46_flipV.png,1.005215,1.000000,0.011966,Circulo
Obj1064,46_flipV.png,1.009371,1.000000,0.023808,Circulo
Obj1067,46_rot180.png,1.005215,1.000000,0.011966,Circulo
Obj1071,46_rot180.png,1.009371,1.000000,0.023808,Circulo
Obj1075,46_rot270.png,1.009371,1.000000,0.023808,Circulo
Obj1076,46_rot270.png,1.005215,1.000000,0.011966,Circulo
Obj1085,46_rot90.png,1.005215,1.000000,0.011966,Circulo
Obj1086,46_rot90.png,1.009371,1.000000,0.023808,Circulo
Obj1089,47.png,1.007081,1.000000,0.011173,Circulo
Obj1095,47_flipH.png,1.007081,1.000000,0.011173,Circulo
Obj1104,47_flipV.png,1.007081,1.000000,0.011173,Circulo
Obj1110,47_rot180.png,1.007081,1.000000,0.011173,Circulo
Obj1113,47_rot270.png,1.007081,1.000000,0.011173,Circulo
Obj1122,47_rot90.png,1.007081,1.000000,0.011173,Circulo
Obj1126,48.png,1.017367,1.000000,0.010177,Circulo
Obj1133,48_flipH.png,1.017367,1.000000,0.010177,Circulo
Obj1143,48_flipV.png,1.017367,1.000000,0.010177,Circulo
Obj1150,48_rot180.png,1.017367,1.000000,0.010177,Circulo
Obj1158,48_rot270.png,1.017367,1.000000,0.010177,Circulo
Obj1160,48_rot90.png,1.017367,1.000000,0.010177,Circulo
Obj2,2.png,0.824781,1.117978,0.447123,Cuadrado
Obj3,2.png,0.823881,1.229358,0.581659,Cuadrado
Obj4,2_flipH.png,0.824781,1.117978,0.447123,Cuadrado
Obj5,2_flipH.png,0.823881,1.229358,0.581659,Cuadrado
Obj6,2_flipV.png,0.823881,1.229358,0.581659,Cuadrado
Obj7,2_flipV.png,0.824781,1.117978,0.447123,Cuadrado
Obj8,2_rot180.png,0.823881,1.229358,0.581659,Cuadrado
Obj9,2_rot180.png,0.824781,1.117978,0.447123,Cuadrado
Obj14,3.png,0.824781,1.117978,0.447123,Cuadrado
Obj15,3.png,0.827259,1.038674,0.270336,Cuadrado
Obj16,3.png,0.823881,1.229358,0.581659,Cuadrado
Obj17,3_flipH.png,0.824781,1.117978,0.447123,Cuadrado
Obj18,3_flipH.png,0.827259,1.038674,0.270336,Cuadrado
Obj19,3_flipH.png,0.823881,1.229358,0.581659,Cuadrado
Obj20,3_flipV.png,0.823881,1.229358,0.581659,Cuadrado
Obj21,3_flipV.png,0.827259,1.038674,0.270336,Cuadrado
Obj22,3_flipV.png,0.824781,1.117978,0.447123,Cuadrado
Obj23,3_rot180.png,0.823881,1.229358,0.581659,Cuadrado
Obj24,3_rot180.png,0.827259,1.038674,0.270336,Cuadrado
Obj25,3_rot180.png,0.824781,1.117978,0.447123,Cuadrado
Obj32,4.png,0.824781,1.117978,0.447123,Cuadrado
Obj33,4.png,0.827259,1.038674,0.270336,Cuadrado
Obj34,4.png,0.828381,1.128000,0.462681,Cuadrado
Obj35,4.png,0.823881,1.229358,0.581659,Cuadrado
Obj36,4_flipH.png,0.824781,1.117978,0.447123,Cuadrado
Obj37,4_flipH.png,0.827259,1.038674,0.270336,Cuadrado
Obj38,4_flipH.png,0.828381,1.128000,0.462681,Cuadrado
Obj39,4_flipH.png,0.823881,1.229358,0.581659,Cuadrado
Obj40,4_flipV.png,0.823881,1.229358,0.581659,Cuadrado
Obj41,4_flipV.png,0.828381,1.128000,0.462681,Cuadrado
Obj42,4_flipV.png,0.827259,1.038674,0.270336,Cuadrado
Obj43,4_flipV.png,0.824781,1.117978,0.447123,Cuadrado
Obj44,4_rot180.png,0.823881,1.229358,0.581659,Cuadrado
Obj45,4_rot180.png,0.828381,1.128000,0.462681,Cuadrado
Obj46,4_rot180.png,0.827259,1.038674,0.270336,Cuadrado
Obj47,4_rot180.png,0.824781,1.117978,0.447123,Cuadrado
Obj56,5.png,0.824781,1.117978,0.447123,Cuadrado
Obj57,5.png,0.827259,1.038674,0.270336,Cuadrado
Obj58,5.png,0.828381,1.128000,0.462681,Cuadrado
Obj59,5.png,0.823881,1.229358,0.581659,Cuadrado
Obj60,5.png,0.828232,1.141667,0.482470,Cuadrado
Obj61,5_flipH.png,0.824781,1.117978,0.447123,Cuadrado
Obj62,5_flipH.png,0.827259,1.038674,0.270336,Cuadrado
Obj63,5_flipH.png,0.828381,1.128000,0.462681,Cuadrado
Obj64,5_flipH.png,0.823881,1.229358,0.581659,Cuadrado
Obj65,5_flipH.png,0.828232,1.141667,0.482470,Cuadrado
Obj66,5_flipV.png,0.828232,1.141667,0.482470,Cuadrado
Obj67,5_flipV.png,0.823881,1.229358,0.581659,Cuadrado
Obj68,5_flipV.png,0.828381,1.128000,0.462681,Cuadrado
Obj69,5_flipV.png,0.827259,1.038674,0.270336,Cuadrado
Obj70,5_flipV.png,0.824781,1.117978,0.447123,Cuadrado
Obj71,5_rot180.png,0.828232,1.141667,0.482470,Cuadrado
Obj72,5_rot180.png,0.823881,1.229358,0.581659,Cuadrado
Obj73,5_rot180.png,0.828381,1.128000,0.462681,Cuadrado
Obj74,5_rot180.png,0.827259,1.038674,0.270336,Cuadrado
Obj75,5_rot180.png,0.824781,1.117978,0.447123,Cuadrado
Obj104,8.png,1.009276,1.090323,0.397456,Cuadrado
Obj107,8_flipH.png,1.009276,1.090323,0.397456,Cuadrado
Obj112,8_flipV.png,1.009276,1.090323,0.397456,Cuadrado
Obj115,8_rot180.png,1.009276,1.090323,0.397456,Cuadrado
Obj118,8_rot270.png,1.009276,0.917160,0.397456,Cuadrado
Obj119,8_rot90.png,1.009276,0.917160,0.397456,Cuadrado
Obj123,9.png,1.009276,1.090323,0.397456,Cuadrado
Obj127,9_flipH.png,1.009276,1.090323,0.397456,Cuadrado
Obj132,9_flipV.png,1.009276,1.090323,0.397456,Cuadrado
Obj136,9_rot180.png,1.009276,1.090323,0.397456,Cuadrado
Obj141,9_rot270.png,1.009276,0.917160,0.397456,Cuadrado
Obj142,9_rot90.png,1.009276,0.917160,0.397456,Cuadrado
Obj147,10.png,1.009276,1.090323,0.397456,Cuadrado
Obj152,10_flipH.png,1.009276,1.090323,0.397456,Cuadrado
Obj159,10_flipV.png,1.009276,1.090323,0.397456,Cuadrado
Obj164,10_rot180.png,1.009276,1.090323,0.397456,Cuadrado
Obj170,10_rot270.png,1.009276,0.917160,0.397456,Cuadrado
Obj171,10_rot90.png,1.009276,0.917160,0.397456,Cuadrado
Obj266,16.png,0.301074,1.015666,0.268116,Estrella
Obj267,16_flipH.png,0.301074,1.015666,0.268116,Estrella
Obj268,16_flipV.png,0.301074,1.015666,0.268116,Estrella
Obj269,16_rot180.png,0.301074,1.015666,0.268116,Estrella
Obj270,16_rot270.png,0.301074,0.984576,0.268116,Estrella
Obj271,16_rot90.png,0.301074,0.984576,0.268116,Estrella
Obj272,17.png,0.301074,1.015666,0.268116,Estrella
Obj273,17.png,0.318612,1.105820,0.315750,Estrella
Obj274,17_flipH.png,0.301074,1.015666,0.268116,Estrella
Obj275,17_flipH.png,0.318612,1.105820,0.315750,Estrella
Obj276,17_flipV.png,0.318612,1.105820,0.315750,Estrella
Obj277,17_flipV.png,0.301074,1.015666,0.268116,Estrella
Obj278,17_rot180.png,0.318612,1.105820,0.315750,Estrella
Obj279,17_rot180.png,0.301074,1.015666,0.268116,Estrella
Obj280,17_rot270.png,0.318612,0.904306,0.315750,Estrella
Obj281,17_rot270.png,0.301074,0.984576,0.268116,Estrella
Obj282,17_rot90.png,0.301074,0.984576,0.268116,Estrella
Obj283,17_rot90.png,0.318612,0.904306,0.315750,Estrella
Obj284,18.png,0.301074,1.015666,0.268116,Estrella
Obj285,18.png,0.336840,1.048000,0.056738,Estrella
Obj286,18.png,0.318612,1.105820,0.315750,Estrella
Obj287,18_flipH.png,0.301074,1.015666,0.268116,Estrella
Obj288,18_flipH.png,0.336840,1.048000,0.056738,Estrella
Obj289,18_flipH.png,0.318612,1.105820,0.315750,Estrella
Obj290,18_flipV.png,0.318612,1.105820,0.315750,Estrella
Obj291,18_flipV.png,0.301074,1.015666,0.268116,Estrella
Obj292,18_flipV.png,0.336840,1.048000,0.056738,Estrella
Obj293,18_rot180.png,0.318612,1.105820,0.315750,Estrella
Obj294,18_rot180.png,0.301074,1.015666,0.268116,Estrella
Obj295,18_rot180.png,0.336840,1.048000,0.056738,Estrella
Obj296,18_rot270.png,0.336840,0.954198,0.056738,Estrella
Obj297,18_rot270.png,0.318612,0.904306,0.315750,Estrella
Obj298,18_rot270.png,0.301074,0.984576,0.268116,Estrella
Obj299,18_rot90.png,0.301074,0.984576,0.268116,Estrella
Obj300,18_rot90.png,0.318612,0.904306,0.315750,Estrella
Obj301,18_rot90.png,0.336840,0.954198,0.056738,Estrella
Obj302,19.png,0.331624,1.092857,0.280167,Estrella
Obj303,19.png,0.301074,1.015666,0.268116,Estrella
Obj304,19.png,0.336840,1.048000,0.056738,Estrella
Obj305,19.png,0.318612,1.105820,0.315750,Estrella
Obj306,19_flipH.png,0.331624,1.092857,0.280167,Estrella
Obj307,19_flipH.png,0.301074,1.015666,0.268116,Estrella
Obj308,19_flipH.png,0.336840,1.048000,0.056738,Estrella
Obj309,19_flipH.png,0.318612,1.105820,0.315750,Estrella
Obj310,19_flipV.png,0.318612,1.105820,0.315750,Estrella
Obj311,19_flipV.png,0.301074,1.015666,0.268116,Estrella
Obj312,19_flipV.png,0.336840,1.048000,0.056738,Estrella
Obj313,19_flipV.png,0.331624,1.092857,0.280167,Estrella
Obj314,19_rot180.png,0.318612,1.105820,0.315750,Estrella
Obj315,19_rot180.png,0.301074,1.015666,0.268116,Estrella
Obj316,19_rot180.png,0.336840,1.048000,0.056738,Estrella
Obj317,19_rot180.png,0.331624,1.092857,0.280167,Estrella
Obj318,19_rot270.png,0.336840,0.954198,0.056738,Estrella
Obj319,19_rot270.png,0.318612,0.904306,0.315750,Estrella
Obj320,19_rot270.png,0.301074,0.984576,0.268116,Estrella
Obj321,19_rot270.png,0.331624,0.915033,0.280167,Estrella
Obj322,19_rot90.png,0.331624,0.915033,0.280167,Estrella
Obj323,19_rot90.png,0.301074,0.984576,0.268116,Estrella
Obj324,19_rot90.png,0.318612,0.904306,0.315750,Estrella
Obj325,19_rot90.png,0.336840,0.954198,0.056738,Estrella
Obj326,20.png,0.331624,1.092857,0.280167,Estrella
Obj327,20.png,0.301074,1.015666,0.268116,Estrella
Obj328,20.png,0.336840,1.048000,0.056738,Estrella
Obj329,20.png,0.318612,1.105820,0.315750,Estrella
Obj330,20.png,0.323803,1.138365,0.392823,Estrella
Obj331,20_flipH.png,0.331624,1.092857,0.280167,Estrella
Obj332,20_flipH.png,0.301074,1.015666,0.268116,Estrella
Obj333,20_flipH.png,0.336840,1.048000,0.056738,Estrella
Obj334,20_flipH.png,0.318612,1.105820,0.315750,Estrella
Obj335,20_flipH.png,0.323803,1.138365,0.392823,Estrella
Obj336,20_flipV.png,0.323803,1.138365,0.392823,Estrella
Obj337,20_flipV.png,0.318612,1.105820,0.315750,Estrella
Obj338,20_flipV.png,0.301074,1.015666,0.268116,Estrella
Obj339,20_flipV.png,0.336840,1.048000,0.056738,Estrella
Obj340,20_flipV.png,0.331624,1.092857,0.280167,Estrella
Obj341,20_rot180.png,0.323803,1.138365,0.392823,Estrella
Obj342,20_rot180.png,0.318612,1.105820,0.315750,Estrella
Obj343,20_rot180.png,0.301074,1.015666,0.268116,Estrella
Obj344,20_rot180.png,0.336840,1.048000,0.056738,Estrella
Obj345,20_rot180.png,0.331624,1.092857,0.280167,Estrella
Obj346,20_rot270.png,0.336840,0.954198,0.056738,Estrella
Obj347,20_rot270.png,0.318612,0.904306,0.315750,Estrella
Obj348,20_rot270.png,0.301074,0.984576,0.268116,Estrella
Obj349,20_rot270.png,0.323803,0.878453,0.392823,Estrella
Obj350,20_rot270.png,0.331624,0.915033,0.280167,Estrella
Obj351,20_rot90.png,0.331624,0.915033,0.280167,Estrella
Obj352,20_rot90.png,0.323803,0.878453,0.392823,Estrella
Obj353,20_rot90.png,0.301074,0.984576,0.268116,Estrella
Obj354,20_rot90.png,0.318612,0.904306,0.315750,Estrella
Obj355,20_rot90.png,0.336840,0.954198,0.056738,Estrella
Obj472,27.png,0.310097,1.000000,0.321226,Estrella
Obj476,27_flipH.png,0.310097,1.000000,0.321226,Estrella
Obj479,27_flipV.png,0.310097,1.000000,0.321226,Estrella
Obj483,27_rot180.png,0.310097,1.000000,0.321226,Estrella
Obj487,27_rot270.png,0.310097,1.000000,0.321226,Estrella
Obj492,27_rot90.png,0.310097,1.000000,0.321226,Estrella
Obj494,28.png,0.322134,1.000000,0.320527,Estrella
Obj496,28.png,0.309345,1.000000,0.317107,Estrella
Obj499,28_flipH.png,0.322134,1.000000,0.320527,Estrella
